metric,value
n_nodes,1030
n_edges,1530
density,0.001444
avg_clustering_undirected,0.5236
n_components,252
n_scc,1030
max_component_size,44
min_component_size,2
isolated_nodes,0
in_degree_min,0
in_degree_max,21
in_degree_mean,1.4854
in_degree_std,1.9125
in_degree_median,1.0
out_degree_min,0
out_degree_max,13
out_degree_mean,1.4854
out_degree_std,1.8049
out_degree_median,1.0
degree_min,1
degree_max,21
degree_mean,2.9709
degree_std,2.5892
degree_median,2.0
weight_min,1
weight_max,15
weight_mean,1.5242
weight_std,0.9475
weight_eq1_count,1023
weight_eq1_pct,66.9
weight_ge2_count,507
weight_ge2_pct,33.1
